;qid;Len;Den;P1;P2;P3;P4;P5
62;;8226_-;TSS;8226;-;;Q4;LB_0.4
63;;8226_-;TSS;8226;-;;Q4;LB_2.0
64;;8226_-;TSS;8226;-;;Q4;LB_2.0
65;;8319_-;TSS;8319;-;;Q4;M63_0.4
66;;8542_-;TSS;8542;-;;Q4;M63_0.4
67;;8542_-;TSS;8542;-;;Q4;LB_2.0
68;;8581_-;TSS;8581;-;;Q4;M63_0.4
69;;8581_-;TSS;8581;-;;Q4;LB_2.0
70;;8858_-;TSS;8858;-;;Q4;M63_0.4
71;;8860_-;TSS;8860;-;;Q4;LB_2.0
72;;9213_-;TSS;9213;-;;Q4;LB_0.4
73;;9213_-;TSS;9213;-;;Q4;LB_0.4
74;;9277_+;TSS;9277;+;;Q4;M63_0.4
75;;9277_+;TSS;9277;+;;Q4;LB_2.0
76;;9359_-;TSS;9359;-;;Q4;M63_0.4
77;;9359_-;TSS;9359;-;;Q4;LB_0.4
78;;9359_-;TSS;9359;-;;Q4;LB_2.0
79;;10476_-;TSS;10476;-;;Q4;M63_0.4
80;;10476_-;TSS;10476;-;;Q4;LB_0.4
81;;10476_-;TSS;10476;-;;Q4;LB_2.0
82;;10584_+;TSS;10584;+;;Q4;M63_0.4
83;;10584_+;TSS;10584;+;;Q4;M63_0.4
84;;10584_+;TSS;10584;+;;Q4;LB_2.0
85;;10584_+;TSS;10584;+;;Q4;LB_2.0
86;;10989_-;TSS;10989;-;;Q4;M63_0.4
87;;10989_-;TSS;10989;-;;Q4;LB_0.4
88;;10989_-;TSS;10989;-;;Q4;LB_2.0
89;;11033_-;TSS;11033;-;;Q4;LB_0.4
90;;11033_-;TSS;11033;-;;Q4;LB_2.0
91;;11090_+;TSS;11090;+;;Q4;M63_0.4
92;;11090_+;TSS;11090;+;;Q4;LB_0.4
93;;11090_+;TSS;11090;+;;Q4;LB_2.0
94;;11407_+;TSS;11407;+;;Q4;M63_0.4
95;;11407_+;TSS;11407;+;;Q4;M63_0.4
96;;11407_+;TSS;11407;+;;Q4;LB_0.4
97;;11407_+;TSS;11407;+;;Q4;LB_0.4
98;;11407_+;TSS;11407;+;;Q4;LB_2.0
99;;11407_+;TSS;11407;+;;Q4;LB_2.0
100;;11543_+;TSS;11543;+;;Q4;M63_0.4
101;;11543_+;TSS;11543;+;;Q4;LB_0.4
102;;11543_+;TSS;11543;+;;Q4;LB_2.0
103;;11936_-;TSS;11936;-;;Q4;M63_0.4
104;;11936_-;TSS;11936;-;;Q4;LB_0.4
105;;11936_-;TSS;11936;-;;Q4;LB_2.0
106;;12048_+;TSS;12048;+;;Q4;M63_0.4
107;;12048_+;TSS;12048;+;;Q4;LB_2.0
108;;12132_-;TSS;12132;-;;Q4;M63_0.4
109;;12135_-;TSS;12135;-;;Q4;LB_0.4
110;;12135_-;TSS;12135;-;;Q4;LB_2.0
111;;13083_+;TSS;13083;+;;Q4;M63_0.4
112;;13083_+;TSS;13083;+;;Q4;LB_0.4
113;;13083_+;TSS;13083;+;;Q4;LB_2.0
114;;13619_+;TSS;13619;+;;Q4;M63_0.4
115;;13932_+;TSS;13932;+;;Q4;M63_0.4
116;;13932_+;TSS;13932;+;;Q4;M63_0.4
117;;14092_-;TSS;14092;-;;Q4;LB_2.0
118;;14092_-;TSS;14092;-;;Q4;LB_2.0
119;;14095_-;TSS;14095;-;;Q4;M63_0.4
120;;14095_-;TSS;14095;-;;Q4;M63_0.4
121;;14095_-;TSS;14095;-;;Q4;LB_0.4
122;;14095_-;TSS;14095;-;;Q4;LB_0.4
123;;14535_+;TSS;14535;+;;Q4;M63_0.4
124;;14535_+;TSS;14535;+;;Q4;LB_0.4
125;;14535_+;TSS;14535;+;;Q4;LB_2.0
126;;15080_+;TSS;15080;+;;Q4;M63_0.4
127;;15080_+;TSS;15080;+;;Q4;LB_2.0
128;;15441_+;TSS;15441;+;;Q4;LB_2.0
129;;16003_-;TSS;16003;-;;Q4;M63_0.4
130;;16003_-;TSS;16003;-;;Q4;LB_0.4
131;;16003_-;TSS;16003;-;;Q4;LB_2.0
132;;16296_-;TSS;16296;-;;Q4;M63_0.4
133;;16296_-;TSS;16296;-;;Q4;LB_0.4
134;;16296_-;TSS;16296;-;;Q4;LB_2.0
135;;16460_-;TSS;16460;-;;Q4;M63_0.4
136;;16460_-;TSS;16460;-;;Q4;LB_0.4
137;;16460_-;TSS;16460;-;;Q4;LB_2.0
138;;16560_-;TSS;16560;-;;Q4;LB_2.0
139;;16949_-;TSS;16949;-;;Q4;M63_0.4
140;;16949_-;TSS;16949;-;;Q4;M63_0.4
141;;16949_-;TSS;16949;-;;Q4;M63_0.4
142;;16949_-;TSS;16949;-;;Q4;LB_0.4
143;;16949_-;TSS;16949;-;;Q4;LB_0.4
144;;16949_-;TSS;16949;-;;Q4;LB_0.4
145;;16949_-;TSS;16949;-;;Q4;LB_2.0
146;;16949_-;TSS;16949;-;;Q4;LB_2.0
147;;16949_-;TSS;16949;-;;Q4;LB_2.0
148;;16952_+;TSS;16952;+;;Q4;M63_0.4
149;;16952_+;TSS;16952;+;;Q4;M63_0.4
150;;16952_+;TSS;16952;+;;Q4;M63_0.4
151;;16952_+;TSS;16952;+;;Q4;LB_0.4
152;;16952_+;TSS;16952;+;;Q4;LB_0.4
153;;16952_+;TSS;16952;+;;Q4;LB_0.4
154;;16952_+;TSS;16952;+;;Q4;LB_2.0
155;;16952_+;TSS;16952;+;;Q4;LB_2.0
156;;16952_+;TSS;16952;+;;Q4;LB_2.0
157;;17007_-;TSS;17007;-;;Q4;M63_0.4
158;;17007_-;TSS;17007;-;;Q4;M63_0.4
159;;17053_-;TSS;17053;-;;Q4;LB_0.4
160;;17053_-;TSS;17053;-;;Q4;LB_0.4
161;;17053_-;TSS;17053;-;;Q4;LB_2.0
162;;17053_-;TSS;17053;-;;Q4;LB_2.0
163;;17151_-;TSS;17151;-;;Q4;LB_2.0
164;;17215_+;TSS;17215;+;;Q4;LB_2.0
165;;17224_+;TSS;17224;+;;Q4;M63_0.4
166;;17224_+;TSS;17224;+;;Q4;LB_0.4
167;;17224_+;TSS;17224;+;;Q4;LB_2.0
168;;17311_+;TSS;17311;+;;Q4;M63_0.4
169;;17311_+;TSS;17311;+;;Q4;LB_0.4
170;;17311_+;TSS;17311;+;;Q4;LB_2.0
171;;17414_-;TSS;17414;-;;Q4;M63_0.4
172;;17414_-;TSS;17414;-;;Q4;LB_2.0
173;;17422_+;TSS;17422;+;;Q4;M63_0.4
174;;17422_+;TSS;17422;+;;Q4;LB_2.0
175;;17454_+;TSS;17454;+;;Q4;M63_0.4
176;;17454_+;TSS;17454;+;;Q4;LB_0.4
177;;17454_+;TSS;17454;+;;Q4;LB_2.0
178;;17589_-;TSS;17589;-;;Q4;M63_0.4
179;;17589_-;TSS;17589;-;;Q4;LB_0.4
180;;17589_-;TSS;17589;-;;Q4;LB_2.0
181;;17981_+;TSS;17981;+;;Q4;M63_0.4
182;;17981_+;TSS;17981;+;;Q4;LB_0.4
183;;17981_+;TSS;17981;+;;Q4;LB_2.0
184;;18025_+;TSS;18025;+;;Q4;LB_2.0
185;;18374_+;TSS;18374;+;;Q4;M63_0.4
186;;18374_+;TSS;18374;+;;Q4;LB_0.4
187;;18374_+;TSS;18374;+;;Q4;LB_2.0
188;;18553_+;TSS;18553;+;;Q4;M63_0.4
189;;18553_+;TSS;18553;+;;Q4;M63_0.4
190;;18553_+;TSS;18553;+;;Q4;LB_0.4
191;;18553_+;TSS;18553;+;;Q4;LB_0.4
192;;18553_+;TSS;18553;+;;Q4;LB_2.0
193;;18553_+;TSS;18553;+;;Q4;LB_2.0
194;;19132_-;TSS;19132;-;;Q4;LB_2.0
195;;19155_+;TSS;19155;+;;Q4;M63_0.4
196;;19155_+;TSS;19155;+;;Q4;LB_2.0
197;;19187_+;TSS;19187;+;;Q4;M63_0.4
198;;19187_+;TSS;19187;+;;Q4;LB_0.4
199;;19187_+;TSS;19187;+;;Q4;LB_2.0
200;;19486_+;TSS;19486;+;;Q4;M63_0.4
201;;19486_+;TSS;19486;+;;Q4;LB_0.4
202;;19486_+;TSS;19486;+;;Q4;LB_2.0
203;;19511_-;TSS;19511;-;;Q4;M63_0.4
204;;19511_-;TSS;19511;-;;Q4;LB_0.4
205;;19511_-;TSS;19511;-;;Q4;LB_2.0
206;;19532_+;TSS;19532;+;;Q4;LB_0.4
207;;19659_-;TSS;19659;-;;Q4;M63_0.4
208;;19659_-;TSS;19659;-;;Q4;LB_0.4
209;;19659_-;TSS;19659;-;;Q4;LB_2.0
210;;19677_+;TSS;19677;+;;Q4;M63_0.4
211;;19677_+;TSS;19677;+;;Q4;LB_0.4
212;;19677_+;TSS;19677;+;;Q4;LB_2.0
213;;19759_+;TSS;19759;+;;Q4;M63_0.4
214;;19759_+;TSS;19759;+;;Q4;LB_0.4
215;;19759_+;TSS;19759;+;;Q4;LB_2.0
216;;19773_-;TSS;19773;-;;Q4;LB_2.0
217;;19831_+;TSS;19831;+;;Q4;M63_0.4
218;;19831_+;TSS;19831;+;;Q4;LB_0.4
219;;19831_+;TSS;19831;+;;Q4;LB_2.0
220;;20278_+;TSS;20278;+;;Q4;M63_0.4
221;;20278_+;TSS;20278;+;;Q4;M63_0.4
222;;20278_+;TSS;20278;+;;Q4;LB_0.4
223;;20278_+;TSS;20278;+;;Q4;LB_0.4
224;;20278_+;TSS;20278;+;;Q4;LB_2.0
225;;20278_+;TSS;20278;+;;Q4;LB_2.0
226;;20526_-;TSS;20526;-;;Q4;M63_0.4
227;;20526_-;TSS;20526;-;;Q4;LB_0.4
228;;20526_-;TSS;20526;-;;Q4;LB_2.0
229;;20562_-;TSS;20562;-;;Q4;LB_2.0
230;;20678_-;TSS;20678;-;;Q4;M63_0.4
231;;20678_-;TSS;20678;-;;Q4;LB_0.4
232;;20678_-;TSS;20678;-;;Q4;LB_2.0
233;;20859_+;TSS;20859;+;;Q4;M63_0.4
234;;20859_+;TSS;20859;+;;Q4;LB_2.0
235;;20984_+;TSS;20984;+;;Q4;M63_0.4
236;;20984_+;TSS;20984;+;;Q4;M63_0.4
237;;20984_+;TSS;20984;+;;Q4;LB_2.0
238;;20984_+;TSS;20984;+;;Q4;LB_2.0
239;;21007_+;TSS;21007;+;;Q4;M63_0.4
240;;21007_+;TSS;21007;+;;Q4;M63_0.4
241;;21007_+;TSS;21007;+;;Q4;LB_0.4
242;;21007_+;TSS;21007;+;;Q4;LB_0.4
243;;21113_+;TSS;21113;+;;Q4;LB_2.0
244;;21113_+;TSS;21113;+;;Q4;LB_2.0
245;;21207_-;TSS;21207;-;;Q4;M63_0.4
246;;21207_-;TSS;21207;-;;Q4;M63_0.4
247;;21207_-;TSS;21207;-;;Q4;LB_0.4
248;;21207_-;TSS;21207;-;;Q4;LB_0.4
249;;21207_-;TSS;21207;-;;Q4;LB_2.0
250;;21207_-;TSS;21207;-;;Q4;LB_2.0
251;;21383_+;TSS;21383;+;;Q4;M63_0.4
252;;21383_+;TSS;21383;+;;Q4;M63_0.4
253;;21383_+;TSS;21383;+;;Q4;LB_0.4
254;;21383_+;TSS;21383;+;;Q4;LB_0.4
255;;21383_+;TSS;21383;+;;Q4;LB_2.0
256;;21383_+;TSS;21383;+;;Q4;LB_2.0
257;;21835_+;TSS;21835;+;;Q4;M63_0.4
258;;21835_+;TSS;21835;+;;Q4;LB_0.4
259;;21835_+;TSS;21835;+;;Q4;LB_2.0
260;;22229_+;TSS;22229;+;;Q4;M63_0.4
261;;22229_+;TSS;22229;+;;Q4;M63_0.4
262;;22229_+;TSS;22229;+;;Q4;LB_0.4
263;;22229_+;TSS;22229;+;;Q4;LB_0.4
264;;22229_+;TSS;22229;+;;Q4;LB_2.0
265;;22229_+;TSS;22229;+;;Q4;LB_2.0
266;;22707_-;TSS;22707;-;;Q4;M63_0.4
267;;23116_+;TSS;23116;+;;Q4;M63_0.4
268;;23116_+;TSS;23116;+;;Q4;LB_0.4
269;;23116_+;TSS;23116;+;;Q4;LB_2.0
270;;23267_+;TSS;23267;+;;Q4;M63_0.4
271;;23267_+;TSS;23267;+;;Q4;LB_0.4
272;;23267_+;TSS;23267;+;;Q4;LB_2.0
273;;24351_+;TSS;24351;+;;Q4;LB_0.4
274;;25014_+;TSS;25014;+;;Q4;M63_0.4
275;;25014_+;TSS;25014;+;;Q4;M63_0.4
276;;25014_+;TSS;25014;+;;Q4;LB_0.4
277;;25014_+;TSS;25014;+;;Q4;LB_0.4
278;;25014_+;TSS;25014;+;;Q4;LB_2.0
279;;25014_+;TSS;25014;+;;Q4;LB_2.0
280;;25344_-;TSS;25344;-;;Q4;M63_0.4
281;;25344_-;TSS;25344;-;;Q4;LB_0.4
282;;25344_-;TSS;25344;-;;Q4;LB_2.0
283;;26450_+;TSS;26450;+;;Q4;LB_2.0
284;;26476_-;TSS;26476;-;;Q4;LB_0.4
285;;27024_+;TSS;27024;+;;Q4;M63_0.4
286;;27024_+;TSS;27024;+;;Q4;M63_0.4
287;;27024_+;TSS;27024;+;;Q4;LB_2.0
288;;27024_+;TSS;27024;+;;Q4;LB_2.0
289;;27114_+;TSS;27114;+;;Q4;M63_0.4
290;;27114_+;TSS;27114;+;;Q4;M63_0.4
291;;27114_+;TSS;27114;+;;Q4;LB_0.4
292;;27114_+;TSS;27114;+;;Q4;LB_0.4
293;;27114_+;TSS;27114;+;;Q4;LB_2.0
294;;27114_+;TSS;27114;+;;Q4;LB_2.0
295;;27263_+;TSS;27263;+;;Q4;LB_0.4
296;;27263_+;TSS;27263;+;;Q4;LB_2.0
297;;28287_+;TSS;28287;+;;Q4;M63_0.4
298;;28287_+;TSS;28287;+;;Q4;LB_0.4
299;;28287_+;TSS;28287;+;;Q4;LB_2.0
300;;29030_+;TSS;29030;+;;Q4;LB_2.0
301;;29034_+;TSS;29034;+;;Q4;M63_0.4
302;;29062_+;TSS;29062;+;;Q4;LB_0.4
303;;29129_+;TSS;29129;+;;Q4;M63_0.4
304;;29129_+;TSS;29129;+;;Q4;LB_0.4
305;;29129_+;TSS;29129;+;;Q4;LB_2.0
306;;29483_-;TSS;29483;-;;Q4;M63_0.4
307;;29483_-;TSS;29483;-;;Q4;LB_2.0
308;;29551_+;TSS;29551;+;;Q4;M63_0.4
309;;29551_+;TSS;29551;+;;Q4;LB_0.4
310;;29551_+;TSS;29551;+;;Q4;LB_2.0
311;;29767_-;TSS;29767;-;;Q4;M63_0.4
312;;29767_-;TSS;29767;-;;Q4;LB_0.4
313;;29767_-;TSS;29767;-;;Q4;LB_2.0
314;;31586_-;TSS;31586;-;;Q4;M63_0.4
315;;31586_-;TSS;31586;-;;Q4;LB_0.4
316;;31586_-;TSS;31586;-;;Q4;LB_2.0
317;;32607_-;TSS;32607;-;;Q4;M63_0.4
318;;32607_-;TSS;32607;-;;Q4;LB_2.0
319;;34027_-;TSS;34027;-;;Q4;M63_0.4
320;;34027_-;TSS;34027;-;;Q4;LB_2.0
321;;34045_+;TSS;34045;+;;Q4;LB_0.4
322;;34045_+;TSS;34045;+;;Q4;LB_2.0
323;;34218_+;TSS;34218;+;;Q4;LB_2.0
324;;34492_+;TSS;34492;+;;Q4;LB_2.0
325;;34503_+;TSS;34503;+;;Q4;M63_0.4
326;;34705_+;TSS;34705;+;;Q4;M63_0.4
327;;34756_+;TSS;34756;+;;Q4;LB_0.4
328;;34756_+;TSS;34756;+;;Q4;LB_2.0
329;;34907_+;TSS;34907;+;;Q4;M63_0.4
330;;34907_+;TSS;34907;+;;Q4;LB_2.0
331;;34913_-;TSS;34913;-;;Q4;M63_0.4
332;;34913_-;TSS;34913;-;;Q4;LB_0.4
333;;34913_-;TSS;34913;-;;Q4;LB_2.0
334;;36161_+;TSS;36161;+;;Q4;M63_0.4
335;;36161_+;TSS;36161;+;;Q4;LB_0.4
336;;36161_+;TSS;36161;+;;Q4;LB_2.0
337;;37454_-;TSS;37454;-;;Q4;LB_2.0
338;;37479_+;TSS;37479;+;;Q4;M63_0.4
339;;37479_+;TSS;37479;+;;Q4;LB_0.4
340;;39939_-;TSS;39939;-;;Q4;M63_0.4
341;;39939_-;TSS;39939;-;;Q4;LB_0.4
342;;39939_-;TSS;39939;-;;Q4;LB_2.0
343;;39952_+;TSS;39952;+;;Q4;M63_0.4
344;;39952_+;TSS;39952;+;;Q4;LB_2.0
345;;40935_-;TSS;40935;-;;Q4;M63_0.4
346;;40935_-;TSS;40935;-;;Q4;LB_0.4
347;;40935_-;TSS;40935;-;;Q4;LB_2.0
348;;40941_-;TSS;40941;-;;Q4;M63_0.4
349;;40941_-;TSS;40941;-;;Q4;LB_2.0
350;;41205_-;TSS;41205;-;;Q4;LB_2.0
351;;41748_-;TSS;41748;-;;Q4;M63_0.4
352;;41748_-;TSS;41748;-;;Q4;LB_0.4
353;;41748_-;TSS;41748;-;;Q4;LB_2.0
354;;42510_+;TSS;42510;+;;Q4;M63_0.4
355;;42510_+;TSS;42510;+;;Q4;LB_0.4
356;;42510_+;TSS;42510;+;;Q4;LB_2.0
357;;44059_+;TSS;44059;+;;Q4;LB_2.0
358;;44059_+;TSS;44059;+;;Q4;LB_2.0
359;;44061_+;TSS;44061;+;;Q4;M63_0.4
360;;44061_+;TSS;44061;+;;Q4;M63_0.4
361;;44061_+;TSS;44061;+;;Q4;LB_0.4
362;;44061_+;TSS;44061;+;;Q4;LB_0.4
363;;45860_+;TSS;45860;+;;Q4;LB_0.4
364;;45860_+;TSS;45860;+;;Q4;LB_2.0
365;;46052_+;TSS;46052;+;;Q4;M63_0.4
366;;46052_+;TSS;46052;+;;Q4;LB_0.4
367;;46141_-;TSS;46141;-;;Q4;M63_0.4
368;;46141_-;TSS;46141;-;;Q4;LB_0.4
369;;46988_-;TSS;46988;-;;Q4;M63_0.4
370;;46988_-;TSS;46988;-;;Q4;LB_2.0
371;;47181_+;TSS;47181;+;;Q4;LB_2.0
372;;47211_+;TSS;47211;+;;Q4;LB_2.0
373;;47257_+;TSS;47257;+;;Q4;LB_2.0
374;;47815_-;TSS;47815;-;;Q4;LB_2.0
375;;47815_-;TSS;47815;-;;Q4;LB_2.0
376;;47965_-;TSS;47965;-;;Q4;M63_0.4
377;;47965_-;TSS;47965;-;;Q4;LB_0.4
378;;47965_-;TSS;47965;-;;Q4;LB_2.0
379;;49104_+;TSS;49104;+;;Q4;LB_2.0
380;;49116_+;TSS;49116;+;;Q4;M63_0.4
381;;49238_-;TSS;49238;-;;Q4;M63_0.4
382;;49238_-;TSS;49238;-;;Q4;LB_0.4
383;;49238_-;TSS;49238;-;;Q4;LB_2.0
384;;49788_+;TSS;49788;+;;Q4;LB_2.0
385;;50322_+;TSS;50322;+;;Q4;M63_0.4
386;;50322_+;TSS;50322;+;;Q4;LB_0.4
387;;50459_-;TSS;50459;-;;Q4;M63_0.4
388;;50459_-;TSS;50459;-;;Q4;LB_0.4
389;;50459_-;TSS;50459;-;;Q4;LB_2.0
390;;50477_+;TSS;50477;+;;Q4;M63_0.4
391;;50477_+;TSS;50477;+;;Q4;LB_0.4
392;;50556_-;TSS;50556;-;;Q4;M63_0.4
393;;50556_-;TSS;50556;-;;Q4;LB_0.4
394;;50556_-;TSS;50556;-;;Q4;LB_2.0
395;;50573_+;TSS;50573;+;;Q4;M63_0.4
396;;51193_+;TSS;51193;+;;Q4;M63_0.4
397;;51193_+;TSS;51193;+;;Q4;M63_0.4
398;;51193_+;TSS;51193;+;;Q4;LB_2.0
399;;51193_+;TSS;51193;+;;Q4;LB_2.0
400;;51949_-;TSS;51949;-;;Q4;M63_0.4
401;;51949_-;TSS;51949;-;;Q4;LB_0.4
402;;52034_-;TSS;52034;-;;Q4;M63_0.4
403;;52034_-;TSS;52034;-;;Q4;LB_0.4
404;;52034_-;TSS;52034;-;;Q4;LB_2.0
405;;52587_-;TSS;52587;-;;Q4;M63_0.4
406;;52587_-;TSS;52587;-;;Q4;M63_0.4
407;;52587_-;TSS;52587;-;;Q4;LB_0.4
408;;52587_-;TSS;52587;-;;Q4;LB_0.4
409;;52587_-;TSS;52587;-;;Q4;LB_2.0
410;;52587_-;TSS;52587;-;;Q4;LB_2.0
411;;53090_-;TSS;53090;-;;Q4;M63_0.4
412;;53090_-;TSS;53090;-;;Q4;LB_2.0
413;;53139_+;TSS;53139;+;;Q4;LB_0.4
414;;53139_+;TSS;53139;+;;Q4;LB_2.0
415;;53776_-;TSS;53776;-;;Q4;M63_0.4
416;;53776_-;TSS;53776;-;;Q4;LB_2.0
417;;53824_-;TSS;53824;-;;Q4;M63_0.4
418;;53824_-;TSS;53824;-;;Q4;LB_0.4
419;;53824_-;TSS;53824;-;;Q4;LB_2.0
420;;53905_+;TSS;53905;+;;Q4;M63_0.4
421;;53905_+;TSS;53905;+;;Q4;LB_0.4
422;;53905_+;TSS;53905;+;;Q4;LB_2.0
423;;54788_+;TSS;54788;+;;Q4;M63_0.4
424;;54788_+;TSS;54788;+;;Q4;M63_0.4
425;;54788_+;TSS;54788;+;;Q4;LB_0.4
426;;54788_+;TSS;54788;+;;Q4;LB_0.4
427;;54995_+;TSS;54995;+;;Q4;M63_0.4
428;;54995_+;TSS;54995;+;;Q4;LB_2.0
429;;55337_+;TSS;55337;+;;Q4;M63_0.4
430;;55337_+;TSS;55337;+;;Q4;LB_0.4
431;;55337_+;TSS;55337;+;;Q4;LB_2.0
432;;55399_-;TSS;55399;-;;Q4;M63_0.4
433;;55399_-;TSS;55399;-;;Q4;LB_2.0
434;;55889_+;TSS;55889;+;;Q4;LB_0.4
435;;56380_+;TSS;56380;+;;Q4;M63_0.4
436;;56380_+;TSS;56380;+;;Q4;LB_2.0
437;;56611_-;TSS;56611;-;;Q4;LB_2.0
438;;56888_+;TSS;56888;+;;Q4;M63_0.4
439;;56888_+;TSS;56888;+;;Q4;LB_0.4
440;;56888_+;TSS;56888;+;;Q4;LB_2.0
441;;57150_+;TSS;57150;+;;Q4;M63_0.4
442;;57150_+;TSS;57150;+;;Q4;M63_0.4
443;;57150_+;TSS;57150;+;;Q4;LB_0.4
444;;57150_+;TSS;57150;+;;Q4;LB_0.4
445;;57150_+;TSS;57150;+;;Q4;LB_2.0
446;;57150_+;TSS;57150;+;;Q4;LB_2.0
447;;57156_-;TSS;57156;-;;Q4;M63_0.4
448;;57156_-;TSS;57156;-;;Q4;LB_0.4
449;;57197_+;TSS;57197;+;;Q4;LB_2.0
450;;57197_+;TSS;57197;+;;Q4;LB_2.0
451;;57203_+;TSS;57203;+;;Q4;LB_2.0
452;;57203_+;TSS;57203;+;;Q4;LB_2.0
453;;57241_-;TSS;57241;-;;Q4;M63_0.4
454;;57241_-;TSS;57241;-;;Q4;LB_0.4
455;;57241_-;TSS;57241;-;;Q4;LB_2.0
456;;57253_-;TSS;57253;-;;Q4;M63_0.4
457;;57253_-;TSS;57253;-;;Q4;LB_0.4
458;;57253_-;TSS;57253;-;;Q4;LB_2.0
459;;57259_+;TSS;57259;+;;Q4;LB_2.0
460;;57261_+;TSS;57261;+;;Q4;M63_0.4
461;;57261_+;TSS;57261;+;;Q4;LB_0.4
462;;57311_-;TSS;57311;-;;Q4;LB_2.0
463;;57311_-;TSS;57311;-;;Q4;LB_2.0
464;;57492_+;TSS;57492;+;;Q4;M63_0.4
465;;57492_+;TSS;57492;+;;Q4;LB_0.4
466;;57492_+;TSS;57492;+;;Q4;LB_2.0
467;;58358_-;TSS;58358;-;;Q4;M63_0.4
468;;58358_-;TSS;58358;-;;Q4;LB_0.4
469;;58358_-;TSS;58358;-;;Q4;LB_2.0
470;;58482_+;TSS;58482;+;;Q4;M63_0.4
471;;58482_+;TSS;58482;+;;Q4;LB_2.0
472;;58726_-;TSS;58726;-;;Q4;M63_0.4
473;;58726_-;TSS;58726;-;;Q4;LB_0.4
474;;58726_-;TSS;58726;-;;Q4;LB_2.0
475;;58734_-;TSS;58734;-;;Q4;M63_0.4
476;;58734_-;TSS;58734;-;;Q4;LB_0.4
477;;58744_-;TSS;58744;-;;Q4;M63_0.4
478;;58744_-;TSS;58744;-;;Q4;LB_0.4
479;;58744_-;TSS;58744;-;;Q4;LB_2.0
