qid,Len,Den,P13,P14,P15,P16,P17
,5925_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""5925""","""-""",Q18,Q10
,5943_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""5943""","""+""",Q18,Q12
,6728_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""6728""","""+""",Q19,Q10
,6966_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""6966""","""+""",Q19,Q10
,7418_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""7418""","""+""",Q19,Q10
,7482_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""7482""","""-""",Q19,Q10
,8042_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""8042""","""+""",Q20,Q10
,8053_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""8053""","""-""",Q19,Q10
,8226_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""8226""","""-""",Q19,Q10
,8319_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""8319""","""-""",Q20,Q10
,8542_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""8542""","""-""",Q20,Q10
,8581_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""8581""","""-""",Q20,Q10
,8858_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""8858""","""-""",Q20,Q10
,8860_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""8860""","""-""",Q20,Q12
,9213_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""9213""","""-""",Q20,Q11
,9277_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""9277""","""+""",Q21,Q10
,9359_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""9359""","""-""",Q21,Q10
,10476_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""10476""","""-""",Q22,Q10
,10584_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""10584""","""+""",Q22,Q10
,10989_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""10989""","""-""",Q23,Q10
,11033_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""11033""","""-""",Q23,Q11
,11090_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""11090""","""+""",Q23,Q10
,11407_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""11407""","""+""",Q23,Q10
,11543_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""11543""","""+""",Q24,Q10
,11936_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""11936""","""-""",Q24,Q10
,12048_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""12048""","""+""",Q25,Q10
,12132_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""12132""","""-""",Q25,Q10
,12135_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""12135""","""-""",Q25,Q11
,13083_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""13083""","""+""",Q25,Q10
,13619_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""13619""","""+""",Q25,Q10
,13932_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""13932""","""+""",Q26,Q10
,14092_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""14092""","""-""",Q25,Q12
,14095_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""14095""","""-""",Q25,Q10
,14535_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""14535""","""+""",Q26,Q10
,15080_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""15080""","""+""",Q26,Q10
,15441_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""15441""","""+""",Q27,Q12
,16003_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""16003""","""-""",Q27,Q10
,16296_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""16296""","""-""",Q27,Q10
,16460_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""16460""","""-""",Q27,Q10
,16560_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""16560""","""-""",Q27,Q12
,16949_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""16949""","""-""",Q28,Q10
,16952_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""16952""","""+""",Q30,Q10
,17007_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""17007""","""-""",Q29,Q10
,17053_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""17053""","""-""",Q29,Q11
,17151_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""17151""","""-""",Q29,Q12
,17215_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""17215""","""+""",Q31,Q12
,17224_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""17224""","""+""",Q31,Q10
,17311_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""17311""","""+""",Q31,Q10
,17414_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""17414""","""-""",Q31,Q10
,17422_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""17422""","""+""",Q31,Q10
,17454_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""17454""","""+""",Q31,Q10
,17589_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""17589""","""-""",Q31,Q10
,17981_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""17981""","""+""",Q31,Q10
,18025_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""18025""","""+""",Q31,Q12
,18374_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""18374""","""+""",Q31,Q10
,18553_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""18553""","""+""",Q32,Q10
,19132_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""19132""","""-""",Q32,Q12
,19155_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""19155""","""+""",Q32,Q10
,19187_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""19187""","""+""",Q32,Q10
,19486_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""19486""","""+""",Q32,Q10
,19511_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""19511""","""-""",Q32,Q10
,19532_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""19532""","""+""",Q32,Q11
,19659_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""19659""","""-""",Q32,Q10
,19677_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""19677""","""+""",,Q10
,19759_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""19759""","""+""",Q33,Q10
,19773_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""19773""","""-""",,Q12
,19831_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""19831""","""+""",Q33,Q10
,20278_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""20278""","""+""",Q33,Q10
,20526_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""20526""","""-""",Q34,Q10
,20562_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""20562""","""-""",Q34,Q12
,20678_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""20678""","""-""",Q34,Q10
,20859_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""20859""","""+""",Q35,Q10
,20984_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""20984""","""+""",Q36,Q10
,21007_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""21007""","""+""",Q36,Q10
,21113_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""21113""","""+""",Q36,Q12
,21207_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""21207""","""-""",Q35,Q10
,21383_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""21383""","""+""",Q37,Q10
,21835_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""21835""","""+""",Q37,Q10
,22229_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""22229""","""+""",Q38,Q10
,22707_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""22707""","""-""",Q38,Q10
,23116_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""23116""","""+""",Q38,Q10
,23267_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""23267""","""+""",Q38,Q10
,24351_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""24351""","""+""",Q38,Q11
,25014_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""25014""","""+""",Q39,Q10
,25344_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""25344""","""-""",Q39,Q10
,26450_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""26450""","""+""",Q40,Q12
,26476_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""26476""","""-""",Q40,Q11
,27024_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""27024""","""+""",Q41,Q10
,27114_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""27114""","""+""",Q41,Q10
,27263_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""27263""","""+""",Q41,Q11
,28287_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""28287""","""+""",Q42,Q10
,29030_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""29030""","""+""",Q42,Q12
,29034_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""29034""","""+""",Q42,Q10
,29062_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""29062""","""+""",Q42,Q11
,29129_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""29129""","""+""",Q42,Q10
,29483_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""29483""","""-""",,Q10
,29551_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""29551""","""+""",Q43,Q10
,29767_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""29767""","""-""",Q43,Q10
,31586_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""31586""","""-""",Q44,Q10
,32607_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""32607""","""-""",Q44,Q10
,34027_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""34027""","""-""",Q44,Q10
,34045_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""34045""","""+""",Q45,Q11
,34218_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""34218""","""+""",Q45,Q12
,34492_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""34492""","""+""",Q45,Q12
,34503_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""34503""","""+""",Q45,Q10
,34705_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""34705""","""+""",Q46,Q10
,34756_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""34756""","""+""",Q46,Q11
,34907_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""34907""","""+""",Q46,Q10
,34913_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""34913""","""-""",Q46,Q10
,36161_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""36161""","""+""",Q47,Q10
,37454_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""37454""","""-""",Q48,Q12
,37479_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""37479""","""+""",Q48,Q10
,39939_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""39939""","""-""",Q49,Q10
,39952_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""39952""","""+""",Q49,Q10
,40935_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""40935""","""-""",Q50,Q10
,40941_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""40941""","""-""",Q50,Q10
,41205_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""41205""","""-""",Q50,Q12
,41748_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""41748""","""-""",Q50,Q10
,42510_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""42510""","""+""",Q51,Q10
,44059_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""44059""","""+""",Q52,Q12
,44061_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""44061""","""+""",Q52,Q10
,45860_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""45860""","""+""",Q54,Q11
,46052_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""46052""","""+""",Q54,Q10
,46141_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""46141""","""-""",Q54,Q10
,46988_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""46988""","""-""",Q54,Q10
,47181_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""47181""","""+""",Q55,Q12
,47211_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""47211""","""+""",Q55,Q12
,47257_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""47257""","""+""",Q55,Q12
,47815_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""47815""","""-""",Q55,Q12
,47965_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""47965""","""-""",Q56,Q10
,49104_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""49104""","""+""",Q56,Q12
,49116_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""49116""","""+""",Q56,Q10
,49238_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""49238""","""-""",Q56,Q10
,49788_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""49788""","""+""",Q57,Q12
,50322_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""50322""","""+""",Q58,Q10
,50459_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""50459""","""-""",Q58,Q10
,50477_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""50477""","""+""",Q58,Q10
,50556_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""50556""","""-""",Q58,Q10
,50573_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""50573""","""+""",Q58,Q10
,51193_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""51193""","""+""",Q58,Q10
,51949_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""51949""","""-""",Q60,Q10
,52034_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""52034""","""-""",Q60,Q10
,52587_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""52587""","""-""",Q60,Q10
,53090_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""53090""","""-""",Q61,Q10
,53139_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""53139""","""+""",Q61,Q11
,53776_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""53776""","""-""",Q62,Q10
,53824_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""53824""","""-""",Q62,Q10
,53905_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""53905""","""+""",Q62,Q10
,54788_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""54788""","""+""",Q62,Q10
,54995_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""54995""","""+""",Q63,Q10
,55337_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""55337""","""+""",Q63,Q10
,55399_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""55399""","""-""",Q63,Q10
,55889_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""55889""","""+""",Q63,Q11
,56380_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""56380""","""+""",Q63,Q10
,56611_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""56611""","""-""",Q63,Q12
,56888_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""56888""","""+""",Q63,Q10
,57150_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""57150""","""+""",Q64,Q10
,57156_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""57156""","""-""",Q63,Q10
,57197_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""57197""","""+""",Q64,Q12
,57203_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""57203""","""+""",Q64,Q12
,57241_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""57241""","""-""",Q63,Q10
,57253_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""57253""","""-""",Q63,Q10
,57259_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""57259""","""+""",Q64,Q12
,57261_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""57261""","""+""",Q64,Q10
,57311_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""57311""","""-""",Q63,Q12
,57492_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""57492""","""+""",Q64,Q10
,58358_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""58358""","""-""",,Q10
,58482_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""58482""","""+""",Q65,Q10
,58726_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""58726""","""-""",Q65,Q10
,58734_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""58734""","""-""",Q65,Q10
,58744_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""58744""","""-""",Q65,Q10
,58773_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""58773""","""+""",Q65,Q11
,58890_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""58890""","""+""",Q65,Q11
,58933_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""58933""","""+""",Q65,Q10
,59025_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""59025""","""+""",Q65,Q12
,59055_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""59055""","""+""",Q65,Q10
,59150_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""59150""","""-""",Q65,Q12
,59728_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""59728""","""+""",Q66,Q10
,60268_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""60268""","""-""",Q66,Q10
,61083_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""61083""","""-""",Q67,Q10
,61281_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""61281""","""+""",Q67,Q10
,61477_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""61477""","""+""",Q67,Q11
,61897_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""61897""","""-""",Q67,Q10
,62659_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""62659""","""+""",Q67,Q10
,63074_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""63074""","""-""",Q67,Q10
,63091_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""63091""","""+""",Q67,Q12
,63181_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""63181""","""+""",Q67,Q10
,63245_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""63245""","""-""",Q67,Q10
,63357_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""63357""","""-""",Q67,Q10
,63450_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""63450""","""-""",Q67,Q10
,63588_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""63588""","""-""",Q68,Q10
,64188_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""64188""","""+""",Q68,Q10
,64514_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""64514""","""-""",Q68,Q10
,64720_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""64720""","""-""",Q68,Q11
,64745_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""64745""","""+""",Q68,Q10
,65803_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""65803""","""-""",Q68,Q10
,65946_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""65946""","""-""",Q68,Q10
,66113_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""66113""","""+""",Q69,Q12
,66557_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""66557""","""+""",Q69,Q10
,66588_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""66588""","""+""",Q69,Q10
,66867_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""66867""","""+""",Q70,Q10
,67171_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""67171""","""+""",Q70,Q10
,67616_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""67616""","""-""",Q70,Q10
,67777_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""67777""","""-""",Q70,Q12
,68654_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""68654""","""+""",Q71,Q10
,70077_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""70077""","""-""",Q71,Q12
,70221_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""70221""","""+""",Q72,Q10
,70387_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""70387""","""+""",Q72,Q10
,70531_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""70531""","""+""",Q72,Q10
,70974_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""70974""","""-""",Q72,Q12
,71292_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""71292""","""+""",Q73,Q11
,71329_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""71329""","""+""",Q73,Q11
,71341_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""71341""","""-""",Q72,Q10
,71795_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""71795""","""+""",Q73,Q10
,72227_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""72227""","""-""",,Q10
,73803_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""73803""","""-""",Q74,Q10
,75126_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""75126""","""+""",Q75,Q10
,75608_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""75608""","""-""",Q75,Q10
,75747_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""75747""","""-""",Q75,Q10
,75765_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""75765""","""+""",Q76,Q10
,75969_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""75969""","""-""",Q76,Q10
,76047_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""76047""","""+""",Q76,Q11
,77336_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""77336""","""-""",Q76,Q10
,77339_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""77339""","""-""",Q76,Q12
,77367_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""77367""","""+""",Q77,Q10
,77403_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""77403""","""-""",Q76,Q10
,77546_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""77546""","""+""",Q79,Q10
,77565_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""77565""","""-""",Q77,Q10
,77619_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""77619""","""+""",Q79,Q12
,77910_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""77910""","""+""",Q79,Q10
,77915_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""77915""","""+""",Q79,Q10
