qid,P17
Q4606,Q12
Q4607,Q12
Q4608,Q12
Q4609,Q12
Q4613,Q12
Q4614,Q12
Q4619,Q12
Q4621,Q12
Q4623,Q12
Q4625,Q12
Q4626,Q12
Q4627,Q12
Q4633,Q12
Q4635,Q12
Q4636,Q12
Q4639,Q12
Q4644,Q12
Q4646,Q12
Q4647,Q12
Q4648,Q12
Q4650,Q12
Q4651,Q11
Q4652,Q12
Q4653,Q12
Q4654,Q12
Q4655,Q12
Q4656,Q12
Q4657,Q11
Q4658,Q12
Q4659,Q12
Q4662,Q12
Q4669,Q12
Q4673,Q12
Q4675,Q12
Q4676,Q12
Q4678,Q11
Q4679,Q12
Q4685,Q12
Q4686,Q12
Q4687,Q12
Q4691,Q12
Q4696,Q12
Q4699,Q12
Q4702,Q12
Q4703,Q12
Q4705,Q11
Q4708,Q11
Q4711,Q12
Q4712,Q12
Q4713,Q11
Q4715,Q12
Q4717,Q12
Q4718,Q12
Q4721,Q12
Q4722,Q12
Q4723,Q12
Q4724,Q12
Q4725,Q11
Q4726,Q11
Q4729,Q12
Q4731,Q12
Q4733,Q12
Q4734,Q12
Q4736,Q12
Q4740,Q12
Q4742,Q11
Q4743,Q11
Q4744,Q12
Q4746,Q12
Q4751,Q12
Q4754,Q11
Q4757,Q12
Q4760,Q12
Q4761,Q11
Q4764,Q12
Q4765,Q12
Q4767,Q11
Q4769,Q12
Q4770,Q12
Q4771,Q12
Q4772,Q11
Q4777,Q12
Q4778,Q12
Q4780,Q12
Q4781,Q12
Q4782,Q12
Q4783,Q12
Q4784,Q12
Q4788,Q12
Q4790,Q12
Q4792,Q12
Q4793,Q12
Q4794,Q12
Q4795,Q12
Q4797,Q12
Q4798,Q12
Q4803,Q12
Q4804,Q12
Q4805,Q11
Q4806,Q11
Q4807,Q12
Q4808,Q12
Q4809,Q11
Q4810,Q12
Q4811,Q11
Q4812,Q12
Q4813,Q11
Q4814,Q11
Q4815,Q12
Q4819,Q12
Q4820,Q12
Q4821,Q11
Q4822,Q12
Q4826,Q12
Q4827,Q12
Q4828,Q12
Q4829,Q12
Q4830,Q12
Q4832,Q12
Q4834,Q12
Q4835,Q12
Q4836,Q11
Q4838,Q12
Q4840,Q12
Q4841,Q12
Q4842,Q12
Q4844,Q12
Q4846,Q12
Q4848,Q12
Q4849,Q11
Q4853,Q12
Q4857,Q12
Q4858,Q12
Q4860,Q12
Q4864,Q12
Q4865,Q12
Q4866,Q12
Q4867,Q12
Q4876,Q12
Q4879,Q12
Q4884,Q12
Q4885,Q11
Q4890,Q12
Q4892,Q12
Q4894,Q11
Q4896,Q12
Q4897,Q12
Q4899,Q12
Q4900,Q12
Q4902,Q11
Q4903,Q12
Q4905,Q11
Q4906,Q11
Q4909,Q12
Q4912,Q12
,Q12
Q4914,Q12
Q4915,Q12
Q4916,Q12
Q4917,Q12
Q4918,Q12
Q4919,Q12
Q4920,Q12
Q4921,Q11
Q4924,Q12
Q4925,Q12
Q4928,Q11
Q4930,Q11
Q4931,Q12
Q4932,Q12
Q4934,Q12
Q4935,Q12
Q4936,Q12
Q4939,Q12
Q4940,Q12
Q4947,Q12
Q4948,Q12
Q4953,Q12
Q4959,Q11
Q4962,Q12
Q4965,Q12
Q4966,Q11
Q4967,Q12
Q4968,Q12
Q4971,Q12
Q4974,Q12
Q4977,Q12
Q4979,Q12
Q4983,Q11
Q4984,Q12
Q4985,Q12
Q4988,Q11
Q4989,Q11
Q4990,Q11
Q4992,Q12
Q4994,Q11
Q4995,Q11
Q4996,Q12
Q4997,Q11
Q4999,Q12
Q5001,Q12
Q5007,Q12
Q5009,Q12
Q5010,Q11
Q5011,Q12
Q5013,Q12
Q5020,Q12
Q5021,Q12
Q5025,Q12
Q5026,Q11
Q5027,Q12
Q5029,Q12
Q5033,Q12
Q5036,Q12
Q5037,Q12
Q5038,Q12
Q5042,Q12
Q5049,Q12
Q5050,Q11
Q5051,Q12
Q5052,Q12
Q5053,Q11
Q5056,Q12
Q5059,Q12
Q5064,Q12
Q5066,Q12
Q5068,Q11
Q5073,Q12
Q5075,Q12
Q5076,Q12
Q5078,Q12
Q5079,Q12
Q5080,Q12
Q5081,Q12
Q5083,Q12
Q5085,Q12
Q5087,Q12
,Q12
Q5092,Q12
Q5094,Q11
Q5095,Q12
Q5096,Q12
Q5099,Q11
Q5100,Q11
Q5102,Q12
Q5104,Q12
Q5106,Q12
,Q12
Q5108,Q12
Q5110,Q12
Q5111,Q12
Q5113,Q12
Q5117,Q12
Q5122,Q12
Q5123,Q12
Q5125,Q12
Q5126,Q12
Q5128,Q12
Q5133,Q11
Q5134,Q12
Q5139,Q11
Q5141,Q12
Q5145,Q12
Q5146,Q12
Q5147,Q12
Q5148,Q11
Q5149,Q12
Q5153,Q11
Q5158,Q12
Q5159,Q12
Q5160,Q11
Q5163,Q11
Q5164,Q12
Q5165,Q11
Q5166,Q11
Q5168,Q11
Q5170,Q11
Q5172,Q12
Q5173,Q12
Q5174,Q12
Q5175,Q12
Q5176,Q12
Q5178,Q12
Q5179,Q12
Q5180,Q12
,Q12
Q5186,Q12
Q5188,Q11
Q5189,Q11
Q5192,Q12
Q5193,Q12
Q5194,Q12
Q5195,Q12
Q5196,Q11
Q5198,Q12
Q5199,Q11
Q5201,Q12
Q5203,Q12
Q5206,Q12
Q5207,Q11
Q5210,Q12
Q5211,Q12
Q5212,Q11
Q5213,Q12
Q5216,Q12
Q5218,Q12
Q5224,Q12
Q5225,Q12
Q5227,Q12
Q5232,Q12
Q5233,Q12
Q5239,Q12
Q5240,Q11
Q5244,Q12
Q5249,Q12
Q5250,Q12
Q5253,Q12
Q5254,Q12
Q5255,Q12
Q5262,Q12
Q5265,Q12
Q5276,Q12
Q5277,Q11
Q5278,Q12
Q5280,Q12
Q5281,Q12
Q5282,Q12
Q5283,Q11
Q5284,Q12
Q5288,Q12
Q5290,Q12
Q5291,Q12
Q5299,Q12
Q5301,Q12
Q5302,Q12
Q5303,Q12
Q5304,Q12
Q5307,Q12
Q5311,Q12
Q5312,Q12
,Q12
Q5320,Q12
Q5321,Q12
Q5324,Q12
Q5327,Q11
Q5331,Q12
Q5333,Q12
Q5339,Q12
Q5341,Q12
Q5342,Q12
Q5344,Q12
Q5346,Q12
Q5347,Q12
,Q12
Q5350,Q12
Q5351,Q12
Q5352,Q12
Q5355,Q11
Q5356,Q12
Q5360,Q12
Q5362,Q12
Q5366,Q12
Q5367,Q12
Q5370,Q11
Q5374,Q12
Q5377,Q12
Q5380,Q12
Q5382,Q12
Q5383,Q12
Q5384,Q11
Q5385,Q12
Q5387,Q12
Q5388,Q12
Q5391,Q12
Q5398,Q12
Q5399,Q12
,Q12
Q5403,Q12
Q5404,Q12
Q5406,Q12
Q5408,Q12
Q5410,Q12
Q5411,Q12
Q5412,Q12
Q5413,Q12
Q5415,Q12
Q5416,Q12
Q5417,Q12
Q5418,Q12
Q5420,Q12
Q5422,Q12
Q5424,Q12
Q5425,Q12
Q5426,Q12
Q5427,Q12
Q5428,Q12
Q5430,Q12
Q5431,Q12
Q5433,Q11
Q5435,Q12
Q5437,Q12
Q5438,Q12
Q5439,Q11
Q5440,Q12
Q5447,Q12
Q5448,Q12
Q5450,Q12
Q5452,Q12
Q5456,Q12
Q5461,Q12
Q5462,Q12
Q5464,Q11
Q5465,Q12
Q5466,Q11
Q5468,Q11
Q5470,Q12
Q5471,Q11
Q5472,Q12
Q5473,Q12
Q5475,Q12
Q5476,Q12
Q5478,Q12
Q5480,Q11
Q5481,Q12
Q5482,Q11
Q5484,Q12
Q5488,Q12
Q5493,Q12
Q5494,Q12
Q5499,Q12
Q5501,Q12
Q5502,Q12
Q5505,Q12
Q5512,Q11
Q5513,Q11
Q5517,Q12
Q5518,Q11
Q5519,Q12
Q5520,Q12
Q5521,Q12
Q5523,Q12
Q5525,Q12
Q5530,Q12
Q5532,Q11
Q5535,Q12
,Q12
Q5542,Q12
Q5543,Q12
Q5545,Q12
Q5546,Q12
Q5548,Q12
Q5549,Q12
Q5551,Q12
Q5552,Q12
Q5553,Q12
Q5555,Q12
Q5556,Q12
Q5560,Q12
Q5563,Q12
Q5565,Q11
Q5566,Q11
Q5567,Q12
Q5569,Q12
Q5572,Q12
Q5575,Q12
Q5576,Q12
Q5580,Q11
Q5582,Q11
Q5583,Q11
Q5584,Q11
Q5591,Q12
Q5595,Q12
Q5596,Q11
Q5597,Q11
Q5599,Q12
Q5600,Q12
Q5601,Q12
Q5604,Q12
Q5606,Q12
Q5612,Q12
Q5615,Q12
Q5617,Q12
Q5620,Q12
Q5622,Q12
Q5625,Q12
Q5626,Q12
Q5627,Q11
Q5630,Q12
Q5632,Q12
Q5634,Q12
Q5637,Q12
Q5638,Q12
Q5640,Q12
Q5641,Q12
Q5642,Q12
Q5643,Q12
Q5644,Q12
Q5645,Q11
Q5646,Q12
Q5647,Q12
Q5648,Q12
Q5650,Q12
Q5653,Q11
Q5656,Q11
Q5658,Q12
Q5659,Q12
Q5663,Q11
Q5665,Q11
Q5666,Q12
Q5667,Q12
Q5668,Q12
Q5669,Q12
Q5670,Q12
Q5671,Q12
Q5673,Q12
Q5675,Q12
Q5676,Q12
Q5677,Q12
Q5680,Q12
Q5683,Q12
,Q12
Q5685,Q12
Q5689,Q12
Q5690,Q12
Q5691,Q12
Q5696,Q11
Q5704,Q12
Q5705,Q12
Q5707,Q12
Q5709,Q12
Q5712,Q12
Q5714,Q12
Q5717,Q11
Q5720,Q12
Q5721,Q12
Q5722,Q12
Q5723,Q12
Q5724,Q12
Q5725,Q12
Q5727,Q11
Q5730,Q12
Q5731,Q12
Q5732,Q12
Q5733,Q12
Q5736,Q12
Q5737,Q12
Q5738,Q12
Q5739,Q12
Q5740,Q12
Q5741,Q12
Q5742,Q12
Q5743,Q12
Q5744,Q12
Q5746,Q12
Q5747,Q12
Q5749,Q12
Q5750,Q11
Q5751,Q11
Q5752,Q11
Q5755,Q12
Q5756,Q12
Q5761,Q12
Q5762,Q12
Q5765,Q12
Q5766,Q12
Q5768,Q12
Q5771,Q12
Q5772,Q12
Q5773,Q11
Q5776,Q12
Q5778,Q11
Q5784,Q12
Q5787,Q12
Q5789,Q12
Q5790,Q12
Q5792,Q12
Q5793,Q12
Q5796,Q12
Q5797,Q12
Q5798,Q11
Q5799,Q12
Q5801,Q12
Q5802,Q12
Q5803,Q12
Q5804,Q12
Q5805,Q12
Q5806,Q12
Q5809,Q12
Q5811,Q12
Q5816,Q11
Q5817,Q11
Q5820,Q12
Q5821,Q12
Q5822,Q12
Q5823,Q12
Q5824,Q12
Q5825,Q12
Q5829,Q11
Q5831,Q12
Q5833,Q12
Q5834,Q12
Q5836,Q12
Q5837,Q12
Q5844,Q12
Q5845,Q12
Q5847,Q12
Q5852,Q12
Q5853,Q12
Q5854,Q12
Q5855,Q12
Q5859,Q12
Q5863,Q12
Q5865,Q11
Q5866,Q12
Q5868,Q11
Q5870,Q12
Q5873,Q12
Q5874,Q12
Q5876,Q12
Q5880,Q12
Q5882,Q12
Q5883,Q11
Q5885,Q12
Q5888,Q12
Q5891,Q11
Q5894,Q11
Q5895,Q11
Q5896,Q12
Q5897,Q11
Q5900,Q12
Q5901,Q12
Q5905,Q12
Q5908,Q12
Q5910,Q12
Q5911,Q12
Q5912,Q12
Q5915,Q12
Q5917,Q12
Q5921,Q12
Q5922,Q12
Q5923,Q11
Q5924,Q12
Q5925,Q12
Q5927,Q11
Q5929,Q12
Q5935,Q11
Q5937,Q12
Q5944,Q12
Q5946,Q11
Q5947,Q12
Q5948,Q12
Q5949,Q12
Q5953,Q12
Q5954,Q11
Q5956,Q11
Q5957,Q12
Q5958,Q11
Q5959,Q12
Q5960,Q11
Q5961,Q12
Q5963,Q12
Q5965,Q11
Q5966,Q11
Q5967,Q12
Q5968,Q11
Q5970,Q12
Q5971,Q12
Q5974,Q12
Q5976,Q12
Q5980,Q12
Q5988,Q12
Q5989,Q12
Q5990,Q12
Q5991,Q11
Q5992,Q11
Q5993,Q10
Q5994,Q11
Q5997,Q12
Q5998,Q11
Q5999,Q12
Q6005,Q12
Q6006,Q11
Q6007,Q11
Q6008,Q12
Q6009,Q12
Q6010,Q12
Q6018,Q12
Q6020,Q11
Q6026,Q12
Q6027,Q12
Q6028,Q12
Q6031,Q12
Q6032,Q12
Q6033,Q11
Q6037,Q12
Q6038,Q12
,Q12
Q6042,Q11
Q6043,Q12
Q6049,Q12
Q6051,Q11
Q6052,Q11
Q6057,Q12
Q6058,Q12
Q6060,Q12
Q6062,Q12
Q6067,Q11
Q6068,Q12
Q6069,Q12
Q6070,Q12
Q6071,Q12
Q6073,Q12
Q6076,Q12
Q6077,Q12
Q6078,Q12
Q6079,Q12
Q6082,Q11
Q6083,Q12
Q6085,Q12
Q6086,Q12
Q6087,Q12
Q6094,Q12
Q6095,Q12
Q6098,Q12
Q6099,Q12
Q6102,Q12
Q6113,Q12
Q6115,Q12
Q6118,Q12
Q6119,Q12
Q6120,Q12
Q6122,Q12
Q6123,Q12
Q6125,Q12
Q6126,Q12
Q6129,Q12
Q6130,Q12
Q6131,Q12
Q6132,Q12
Q6133,Q12
Q6135,Q12
Q6140,Q12
Q6141,Q12
Q6142,Q11
Q6146,Q11
Q6147,Q11
Q6149,Q12
Q6150,Q12
Q6151,Q12
Q6154,Q12
Q6161,Q12
Q6164,Q12
Q6171,Q12
Q6174,Q12
Q6176,Q11
Q6178,Q11
Q6179,Q11
Q6180,Q11
Q6185,Q12
Q6187,Q12
Q6188,Q12
Q6191,Q11
Q6194,Q12
Q6195,Q12
Q6198,Q12
Q6200,Q12
Q6203,Q12
Q6204,Q12
Q6206,Q12
Q6207,Q11
Q6209,Q11
Q6212,Q12
Q6215,Q12
Q6216,Q12
Q6217,Q12
Q6218,Q12
Q6220,Q12
Q6222,Q12
Q6223,Q12
Q6224,Q12
Q6225,Q12
Q6226,Q12
Q6227,Q12
Q6229,Q12
Q6232,Q12
Q6234,Q12
Q6235,Q12
Q6241,Q11
Q6242,Q12
Q6243,Q12
Q6244,Q12
Q6245,Q12
Q6246,Q12
Q6247,Q12
,Q12
Q6253,Q12
Q6256,Q12
Q6257,Q12
Q6258,Q12
Q6259,Q12
Q6261,Q12
Q6262,Q11
Q6263,Q11
Q6264,Q12
Q6267,Q12
Q6268,Q12
Q6270,Q12
Q6273,Q12
Q6274,Q12
Q6276,Q12
Q6277,Q12
Q6278,Q12
Q6280,Q11
Q6281,Q12
Q6282,Q12
Q6286,Q12
Q6287,Q12
Q6292,Q12
Q6293,Q11
Q6294,Q12
Q6296,Q11
Q6297,Q12
Q6298,Q11
Q6301,Q12
Q6306,Q12
Q6307,Q12
Q6309,Q12
Q6313,Q12
Q6314,Q12
Q6315,Q12
Q6321,Q12
Q6322,Q12
Q6323,Q11
Q6324,Q12
Q6325,Q11
Q6326,Q11
Q6327,Q11
Q6330,Q11
Q6332,Q12
Q6336,Q12
Q6338,Q12
Q6339,Q11
Q6340,Q12
Q6343,Q12
Q6344,Q12
Q6345,Q12
Q6347,Q12
Q6348,Q12
Q6350,Q12
Q6353,Q11
Q6354,Q12
Q6361,Q12
Q6362,Q12
Q6369,Q12
Q6370,Q12
Q6371,Q12
Q6372,Q12
Q6374,Q12
Q6379,Q12
Q6381,Q12
Q6382,Q12
Q6383,Q12
Q6384,Q12
Q6385,Q12
Q6391,Q11
Q6392,Q12
Q6393,Q12
Q6396,Q12
Q6401,Q12
Q6402,Q12
Q6403,Q11
Q6407,Q12
Q6409,Q12
Q6411,Q12
Q6412,Q12
Q6413,Q12
Q6421,Q11
Q6422,Q12
Q6423,Q11
Q6424,Q12
Q6425,Q12
Q6430,Q10
Q6431,Q11
Q6432,Q11
Q6433,Q12
Q6436,Q12
Q6437,Q12
Q6440,Q12
Q6443,Q12
Q6446,Q12
Q6447,Q12
Q6450,Q11
Q6451,Q12
Q6453,Q12
Q6455,Q11
Q6456,Q12
Q6458,Q12
Q6459,Q12
Q6462,Q12
Q6463,Q12
Q6464,Q12
Q6466,Q12
Q6467,Q12
Q6469,Q12
Q6472,Q11
Q6473,Q12
Q6474,Q12
Q6476,Q12
,Q12
Q6480,Q12
Q6481,Q12
Q6482,Q12
Q6487,Q11
Q6488,Q12
Q6489,Q12
Q6491,Q12
Q6492,Q12
Q6493,Q12
Q6496,Q12
Q6497,Q12
Q6500,Q12
Q6503,Q11
Q6504,Q11
Q6505,Q12
Q6506,Q12
Q6507,Q12
Q6508,Q12
Q6509,Q11
Q6512,Q12
Q6515,Q12
Q6516,Q12
Q6518,Q12
Q6519,Q12
Q6520,Q12
Q6521,Q12
Q6524,Q11
Q6527,Q12
Q6528,Q12
Q6529,Q12
Q6530,Q11
Q6531,Q11
Q6533,Q12
Q6536,Q11
Q6537,Q11
Q6541,Q12
Q6542,Q12
Q6543,Q12
Q6544,Q12
Q6546,Q12
Q6547,Q12
Q6548,Q12
Q6549,Q12
Q6550,Q11
Q6551,Q12
Q6553,Q12
Q6554,Q12
Q6557,Q12
Q6559,Q12
Q6560,Q12
Q6563,Q12
Q6564,Q12
Q6569,Q11
Q6570,Q12
Q6571,Q12
Q6573,Q12
Q6576,Q12
Q6578,Q12
Q6579,Q11
Q6580,Q11
Q6581,Q11
Q6582,Q11
Q6584,Q11
Q6585,Q12
Q6586,Q12
Q6587,Q12
Q6588,Q12
Q6595,Q12
Q6599,Q12
Q6600,Q11
Q6601,Q12
Q6602,Q11
Q6610,Q12
Q6612,Q12
Q6620,Q12
Q6621,Q12
Q6623,Q11
Q6624,Q12
Q6632,Q11
Q6633,Q12
Q6636,Q12
Q6639,Q12
Q6640,Q11
Q6645,Q12
Q6646,Q12
Q6647,Q12
Q6650,Q12
,Q12
,Q12
,Q12
,Q12
Q6658,Q12
Q6661,Q12
Q6664,Q12
Q6668,Q12
Q6672,Q12
Q6674,Q12
Q6676,Q11
Q6681,Q11
Q6682,Q12
Q6686,Q12
Q6687,Q11
Q6691,Q12
Q6693,Q12
Q6696,Q12
Q6698,Q12
Q6704,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q11
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q11
,Q12
,Q11
,Q12
,Q12
,Q11
,Q12
,Q11
,Q11
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q11
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q11
,Q11
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q11
,Q11
,Q11
,Q12
,Q12
,Q11
,Q11
,Q11
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q11
,Q12
,Q11
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q11
,Q11
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q11
,Q11
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q11
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q11
,Q12
,Q11
,Q11
,Q11
,Q12
,Q12
,Q12
,Q11
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q11
,Q12
,Q12
,Q11
,Q11
,Q11
,Q11
,Q12
,Q12
,Q12
,Q12
,Q11
,Q11
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q11
,Q11
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q11
,Q11
,Q11
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q11
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q10
,Q10
,Q10
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q11
,Q11
,Q11
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q11
,Q12
,Q11
,Q10
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q11
,Q12
,Q12
,Q11
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
,Q12
